cardId,ord,deckName,factor,interval,note,type,queue,due,reps,lapses,left,mod,dictionary_form,definitions
1692720599096,0,日本語::FMA,2100,26,1692720599095,2,2,350,15,2,1001,1696278455,鋼,"['steel', '彼は鋼を鍛えて刀を作った。']"
1692720674741,0,日本語::FMA,1300,13,1692720674741,2,2,353,34,7,1001,1697645631,荒い,"['rough', 'wild', 'violent', 'rude', 'coarse', 'harsh', 'fierce', 'heavy (e.g. breathing)', '僕のボスは人使いが荒いんだ。']"
1692720768919,0,日本語::FMA,2500,61,1692720768918,2,2,383,7,0,1001,1696061982,せっかく,[]
1692720848395,0,日本語::FMA,2500,46,1692720848395,2,2,364,7,0,1001,1695732235,終わる,"['to end', 'to come to an end', 'to close', 'to finish', '野球の試合は引き分けに終わった。']"
1692721010663,0,日本語::FMA,2500,63,1692721010662,2,2,386,7,0,1001,1696149002,そっち,"['that way', 'that direction', 'direction distant from the speaker, close to the listener', 'see: <a lang=""ja"" href=""#""><span>こちら</span></a><span data-sc-content=""refGlosses"" style=""font-size: 65%; vertical-align: middle;""> 1. this way; this direction</span>', 'see: <a lang=""ja"" href=""#""><span>あちら</span></a><span data-sc-content=""refGlosses"" style=""font-size: 65%; vertical-align: middle;""> 1. that way; that direction; over there; yonder</span>', 'see: <a lang=""ja"" href=""#""><span>どちら</span></a><span data-sc-content=""refGlosses"" style=""font-size: 65%; vertical-align: middle;""> 1. which way; which direction; where</span>', 'そちらはセントラル自動車学校ではないんですか。']"
1692721029285,0,日本語::FMA,2500,85,1692721029285,2,2,427,7,0,1001,1697778157,止まる,"['to stop (moving)', 'to come to a stop', 'そして、電車はキーッという音を立てて止まった。']"
1692721083707,0,日本語::FMA,1300,3,1692721083707,2,2,352,142,18,1001,1698422380,属性,"['attribute', 'property', 'context', 'element', '普通は、id属性とname属性に同じ値を割り当てます。（訳注：異なっていても構わないが便宜上同じ値を割り当てるという事）']"
1692721128856,0,日本語::FMA,2500,93,1692721128856,2,2,438,7,0,1001,1698080165,する,"['to do', 'to carry out', 'to perform', '「これ以上何も言うことはありません、いいわけをするのはいやですから」と彼は言った。']"
1692721156335,0,日本語::FMA,1300,16,1692721156334,2,2,357,118,10,1001,1697730971,犠牲,"['sacrifice', '数千人がこの病気の犠牲になった。']"
1692721388789,0,日本語::FMA,2500,82,1692721388788,2,2,422,7,0,1001,1697647664,バカ,"['idiot', 'moron', 'fool', 'あいつが僕のことを「ばかなやつ」っていったんだよ。']"
1692721408929,0,日本語::FMA,2500,55,1692721408928,2,2,376,9,0,1001,1695963469,はずだ,[]
1692721464130,0,日本語::FMA,1300,5,1692721464129,2,2,352,58,6,1001,1698249330,機械,"['machine', 'mechanism', '僕は今日この機械を試験するつもりです。']"
1692721470128,0,日本語::FMA,1700,19,1692721470128,2,2,359,40,4,1001,1697647628,鎧,"['armor', 'armour', 'そこで、旅をするときは、私は鎧をつけることはしません。']"
1692721512625,0,日本語::FMA,1300,5,1692721512625,2,2,353,60,7,1001,1698296749,技,"['technique', 'art', 'skill', 'move', '柔道では力より技のほうが大切である。']"
1692721540027,0,日本語::FMA,2300,35,1692721540027,2,2,383,13,1,1001,1698343208,右腕,"['right arm', 'see: <a lang=""ja"" href=""#""><span>左腕</span></a><span data-sc-content=""refGlosses"" style=""font-size: 65%; vertical-align: middle;""> 1. left arm</span>', '右腕を骨折したようです。']"
1692721556277,0,日本語::FMA,2500,78,1692721556276,2,2,418,7,0,1001,1697656030,お前,"['you', 'formerly honorific, now oft. derog. in ref. to an equal or inferior', 'お前を娘の夫にしよう。']"
1692721609497,0,日本語::FMA,2500,39,1692721609496,2,2,351,6,0,1001,1695187113,ちび,[]
1692721670351,0,日本語::FMA,2500,59,1692721670350,2,2,383,6,0,1001,1696253999,小さな,"['small', 'little', 'tiny', 'see: <a lang=""ja"" href=""#""><span>大きな</span></a><span data-sc-content=""refGlosses"" style=""font-size: 65%; vertical-align: middle;""> big; large; great</span>', 'その犬は小さな男の子に向かって唸った。']"
1692721710492,0,日本語::FMA,2500,89,1692721710492,2,2,435,7,0,1001,1698154305,多分,"['perhaps', 'probably', '君にはたぶんみんなわかっていることでしょう。']"
1692721753245,0,日本語::FMA,2500,71,1692721753245,2,2,403,11,0,1001,1696955280,例える,"['to compare (something) to', 'to liken', 'to speak figuratively', 'to use a simile', 'to use a metaphor', 'その詩人は死を眠りにたとえた。']"
1692722295579,0,日本語::FMA,2500,49,1692722295578,2,2,368,7,0,1001,1695825085,まったく,"['really', 'truly', 'entirely', 'completely', 'wholly', 'perfectly', '彼の意見は我々の意見とはまったく違っている。']"
1692722317374,0,日本語::FMA,2500,57,1692722317374,2,2,378,7,0,1001,1695991734,何だか,"['(a) little', 'somewhat', 'somehow', 'なんだかすごく辛いの。']"
1692722629670,0,日本語::FMA,1900,23,1692722629669,2,2,364,19,3,1001,1697743173,相手,"['companion', 'partner', 'company', 'あなたのダンスの相手はだれですか。']"
1692722757438,0,日本語::FMA,2500,61,1692722757437,2,2,384,7,0,1001,1696146805,悪,"['wicked person', 'evil person', 'scoundrel', 'bad guy', 'bad child', 'naughty child', '彼はすべての悪から魔力で守られた。']"
1692722899800,0,日本語::FMA,1700,34,1692722899799,2,2,382,54,4,1001,1698327098,素直,[]
1692722962006,0,日本語::FMA,2300,41,1692722962005,2,2,359,12,1,1001,1695747710,元,"['origin', 'source', 'usu. 元', '憲政の危機が始まったのは、このような状況のもとであった。', 'やってしまったことは元に戻らない。']"
1692722973530,0,日本語::FMA,2300,70,1692722973529,2,2,416,14,1,1001,1698154258,国家,"['state', 'country', 'nation', '同じ事が国家についても当てはまる。']"
1692723024801,0,日本語::FMA,1700,3,1692723024801,2,2,352,28,4,1001,1698430014,殲滅,[]
1692723037078,0,日本語::FMA,1500,9,1692723037078,2,2,350,43,5,1001,1697744159,戦,"['war', 'battle', 'campaign', 'fight', '腹が減っては戦ができぬ。']"
1692723057177,0,日本語::FMA,1500,3,1692723057176,2,2,350,42,5,1001,1698209772,我が,"['my', 'our', ""one\\'s own"", '我が軍はその王国を襲った。']"
1692723063800,0,日本語::FMA,1500,18,1692723063800,2,2,363,30,5,1001,1698080320,軍,"['army', 'armed forces', 'troops', 'see: <a lang=""ja"" href=""#""><span>軍隊</span></a><span data-sc-content=""refGlosses"" style=""font-size: 65%; vertical-align: middle;""> armed forces; military; troops</span>', '我が軍はその王国を襲った。']"
1692723078629,0,日本語::FMA,1300,5,1692723078629,2,2,353,66,6,1001,1698343146,活躍,"['activity (esp. energetic or successful)', 'great efforts', 'active participation', '仕事でご活躍ですね。']"
1692723107824,0,日本語::FMA,1300,3,1692723107823,2,2,352,150,19,1001,1698423301,戦後,"['postwar period', 'period after Second World War', '昭和天皇が靖国神社で７５年までに戦後計８回参拝した。']"
1692723128424,0,日本語::FMA,1300,3,1692723128424,2,2,350,98,13,1001,1698210741,称号,"['title', 'name', 'degree', 'フランクス陸軍大将がナイト爵位の名誉称号を授かりました。']"
1692723154299,0,日本語::FMA,1300,9,1692723154299,2,2,351,56,11,1001,1697778061,更に,"['furthermore', 'again', 'after all', 'more and more', 'moreover', 'even more', 'これでさらに困ったことになるだろう。']"
1692723182522,0,日本語::FMA,1300,5,1692723182521,2,2,352,254,22,1001,1698250151,運動,"['exercise', 'physical training', 'workout', 'sports', 'athletics', 'その運動をして若返った。']"
1692726830265,0,日本語::FMA,2300,39,1692726830264,2,2,357,12,1,1001,1695732221,場合によって,"['depending on the situation', 'should time and circumstances permit', 'この薬品は場合によって毒にも薬にもなる。']"
1692726914984,0,日本語::FMA,2100,24,1692726914984,2,2,366,19,2,1001,1697778278,殺す,"['to kill', 'to slay', 'to murder', 'to slaughter', 'おまえはオレを殺そうとしている。']"
1692726944734,0,日本語::FMA,1300,15,1692726944734,2,2,360,40,9,1001,1698080152,我々,"['we', 'しかし我々は彼なしで続行した。']"
1692726955685,0,日本語::FMA,1300,3,1692726955685,2,2,350,71,13,1001,1698209791,求める,"['to want', 'to wish for', 'いつでも彼の援助を求められます。']"
1692726982555,0,日本語::FMA,1300,9,1692726982555,2,2,350,56,8,1001,1697732102,実績,"['achievements', 'actual results', 'accomplishments', 'past results', 'track record', 'その新米のセールスマンが、トップの販売実績をあげたやり方は指導員の目を見はらせた。']"
1692727003562,0,日本語::FMA,2500,56,1692727003562,2,2,378,6,0,1001,1696063543,ところで,"['by the way', 'incidentally', '「ところでよ、そのおめーのおとうさんはどこにいんのさ？」「横転したトラックの下なんよ。」']"
1692727040808,0,日本語::FMA,2500,49,1692727040808,2,2,368,9,0,1001,1695828544,手がかり,"['clue', 'lead', 'key', 'trail', 'scent', 'track', 'その殺人者の正体は手掛かりがまったくなかった。']"
1692727049985,0,日本語::FMA,2500,53,1692727049984,2,2,373,6,0,1001,1695909322,見つかる,"['to be found', 'to be discovered', '運悪く仕事が見つからなかった。']"
1692814763547,0,日本語::FMA,2300,45,1692814763547,2,2,373,15,1,1001,1696579074,とんだ,"['unthinkable', 'unimaginable', 'inconceivable', 'unexpected', '証人喚問はとんだ騒ぎになってしまいました。']"
1692814890819,0,日本語::FMA,1300,14,1692814890819,2,2,354,46,6,1001,1697647848,光栄,"['honour', 'honor', 'glory', 'privilege', 'あなたにお会いできて光栄です。']"
1692815238138,0,日本語::FMA,2100,56,1692815238138,2,2,402,16,2,1001,1698154470,用,"['business', 'task', 'errand', 'engagement', '何の用でここに来たのですか。']"
1692815259562,0,日本語::FMA,1300,16,1692815259562,2,2,357,56,8,1001,1697743098,直ちに,"['at once', 'immediately', 'right away', 'without delay', '我々は直ちにこの問題に対処しなければならない。']"
1692815287060,0,日本語::FMA,1300,3,1692815287060,2,2,352,47,9,1001,1698383234,済む,"['to finish', 'to end', 'to be completed', '１０時ちょっと前に仕事が済んだ。']"
1692815346634,0,日本語::FMA,2500,52,1692815346633,2,2,371,7,0,1001,1695828363,君たち,"['you (plural)', 'all of you', 'you all', 'also used colloquially by young females', 'それらは君たちの椅子ではありません。']"
1692815359341,0,日本語::FMA,2500,42,1692815359341,2,2,358,7,0,1001,1695580495,どうせ,"['anyhow', 'in any case', 'at any rate', 'after all', 'at all', 'no matter what', 'どうせやるなら上手にやれ。']"
1692815382451,0,日本語::FMA,1300,1,1692815382451,2,2,350,50,7,1001,1698417041,宿,[]
1692815386175,0,日本語::FMA,2100,6,1692815386175,2,2,352,17,2,1001,1698173807,決まる,"['to be decided', 'to be settled', 'to be fixed', 'to be arranged', 'いつ始めるのかはまだ決まっていない。']"
1692815408421,0,日本語::FMA,2500,88,1692815408421,2,2,434,8,0,1001,1698171465,だったら,"[""if it\\'s the case"", 'see: <a lang=""ja"" href=""#""><span>だ</span></a><span data-sc-content=""refGlosses"" style=""font-size: 65%; vertical-align: middle;""> 1. be; is</span>', 'だったら、私のお願いを聞いて欲しいの。それでチャラ。']"
1692815453218,0,日本語::FMA,2500,44,1692815453218,2,2,362,8,0,1001,1695749899,娘,"['daughter', '彼女は娘の身支度を手伝った。']"
1692815475523,0,日本語::FMA,2300,29,1692815475522,2,2,352,11,1,1001,1696157018,痛い,"['painful', 'sore', '噛むと痛いですか。']"
1692815484549,0,日本語::FMA,2500,40,1692815484549,2,2,357,7,0,1001,1695658868,髪,[]
1692815497568,0,日本語::FMA,2500,56,1692815497568,2,2,378,6,0,1001,1696062658,そうか,"['is that so?', 'generally rhetorical', '「寝てた？」「爆睡」「そ、そうか？」「なんかうなされてたよ。怖い夢でも見てた？」']"
1692815517493,0,日本語::FMA,2500,56,1692815517492,2,2,381,6,0,1001,1696357126,ほら,"['look!', 'see!', 'here!', 'there!', 'hey!', 'ほら、あなたの乗る電車が来たわ。']"
1692815542918,0,日本語::FMA,2100,44,1692815542918,2,2,373,19,2,1001,1696700050,お客さん,"['guest', 'visitor', '３１８号室のお客さんに持って行ってあげなさい。']"
1692815655142,0,日本語::FMA,1300,3,1692815655142,2,2,352,104,13,1001,1698417291,飯,"['cooked rice', 'とにかくメシ・・・といきたいところだが、その前に用を足すことにした。']"
1692815658238,0,日本語::FMA,1300,11,1692815658238,2,2,359,86,9,1001,1698326613,早速,"['at once', 'immediately', 'without delay', 'promptly', 'さっそく仕事にとりかかりましょう。']"
1692815670691,0,日本語::FMA,2500,45,1692815670691,2,2,363,7,0,1001,1695735153,美味い,"['skillful', 'skilful', 'skilled', 'good', 'expert', 'clever (expression, trick, etc.)', 'apt', 'appropriate', 'esp. 上手い, 巧い', '彼女はテニスは上手いが、水泳は下手だ。']"
1692815709386,0,日本語::FMA,2500,44,1692815709386,2,2,361,6,0,1001,1695659287,頂きます,"['thank you (for the meal just served)', '<span style=""font-style: italic;"">(literally)</span> I receive (this meal)', 'see: <a lang=""ja"" href=""#""><span>頂く</span></a><span data-sc-content=""refGlosses"" style=""font-size: 65%; vertical-align: middle;""> 1. to receive; to get; to accept; to take; to buy</span>', '「ありがとう。もう一つケーキをいただきます」と内気な青年は言った。']"
1692815733284,0,日本語::FMA,2300,38,1692815733284,2,2,354,9,1,1001,1695549498,沢山,"['a lot', 'lots', 'plenty', 'many', 'a large number', 'much', 'a great deal', 'a good deal', 'お父さんは煙草の煙でたくさん輪を作れる。']"
1692815793085,0,日本語::FMA,1300,15,1692815793084,2,2,357,59,6,1001,1697830986,修業,"['pursuit of knowledge', 'studying', 'learning', 'training', 'completing a course', '只今、僕は旅立ちの日に向けて修業中です。']"
1692815820162,0,日本語::FMA,2500,70,1692815820161,2,2,410,9,0,1001,1697656246,二人分,"['portion for two people', 'この食事は二人分ある。']"
1692815842534,0,日本語::FMA,2300,74,1692815842533,2,2,419,13,1,1001,1698038314,主義,"['doctrine', 'rule', 'principle', '-ism', 'それは私の主義に反する。']"
1692815883508,0,日本語::FMA,1300,9,1692815883508,2,2,357,47,6,1001,1698296231,冗談,"['joke', 'jest', 'funny story', '冗談はもうたくさんだ。']"
1692815927381,0,日本語::FMA,2300,52,1692815927381,2,2,382,13,1,1001,1696745519,共に,"['together', 'jointly', '私と共に来てくれませんか。']"
1692815945307,0,日本語::FMA,1300,9,1692815945306,2,2,351,62,10,1001,1697828797,腐る,"['to rot', 'to go bad', 'to decay', 'to spoil', 'to fester', 'to decompose', 'to turn sour (e.g. milk)', 'これらのオレンジは腐っている。']"
1692894618596,0,日本語::FMA,1300,3,1692894618595,2,2,350,160,17,1001,1698209784,地獄,"['hell', 'そこはこの世の地獄となった。']"
1692894640169,0,日本語::FMA,2500,54,1692894640169,2,2,378,9,0,1001,1696251708,させる,"['to make (someone) do', 'see: <a lang=""ja"" href=""#""><span>する</span></a><span data-sc-content=""refGlosses"" style=""font-size: 65%; vertical-align: middle;""> 1. to do; to carry out; to perform</span>', '「びっくりさせないでよ」と彼女は彼が背後に近づいた時言った。']"
1692894648619,0,日本語::FMA,2500,88,1692894648619,2,2,436,8,0,1001,1698296203,知る,"['to know', 'to be aware (of)', 'to be conscious (of)', 'to learn (of)', 'to find out', 'to discover', 'あなたは１９９０年から彼女を知っているのですか？']"
1692894737345,0,日本語::FMA,1300,8,1692894737345,2,2,354,141,15,1001,1698156139,誤解,"['misunderstanding', 'あなたを誤解してしまってごめんなさい。']"
1692894766092,0,日本語::FMA,2300,42,1692894766092,2,2,367,12,1,1001,1696336824,貴女,"['you', 'trad. polite in ref. to someone of equal or lower status, now oft. regarded as rude or distant', '毎晩十分な睡眠をとれば、あなたはずっと気分がよくなるだろう。']"
1692894777917,0,日本語::FMA,2500,41,1692894777917,2,2,358,7,0,1001,1695658673,みたいな,"['something like that', 'sort of like that', 'similar to that', 'in that vein', 'short for みたいな感じ']"
1692894810416,0,日本語::FMA,2300,38,1692894810416,2,2,355,12,1,1001,1695659309,あいつ等,"['they', 'those guys', 'those fellows', 'あいつらはなんとばかなやつらだ。']"
1692894832013,0,日本語::FMA,2300,81,1692894832012,2,2,430,18,1,1001,1698419985,過ぎる,"['to pass through', 'to pass by', 'to go beyond', '１年が過ぎ、彼の死体は塵と化した。']"
1692894859487,0,日本語::FMA,2100,36,1692894859487,2,2,361,20,2,1001,1696340018,残念,"['regrettable', 'unfortunate', 'disappointing', 'vexing', 'お伺いできないのが残念です。']"
1692894883911,0,日本語::FMA,2500,54,1692894883911,2,2,377,9,0,1001,1696149373,ご苦労さん,"['I appreciate your efforts', 'アリさん、今日もご苦労さんだよ。はい、角砂糖あげるよ。']"
1692894903513,0,日本語::FMA,1900,11,1692894903513,2,2,353,18,3,1001,1697778020,珍しい,"['unusual', 'rare', 'curious', 'これは珍しい種類の魚です。']"
1692895310427,0,日本語::FMA,2300,44,1692895310427,2,2,374,11,1,1001,1696745705,当てる,"['to guess (an answer)', 'うまくあの先生のやまを当てたわね。']"
1692895361774,0,日本語::FMA,2500,89,1692895361774,2,2,438,8,0,1001,1698422575,と言えば,"['speaking of ...', '田中さんといえば、最近彼に会ったか。']"
1692895379972,0,日本語::FMA,1700,17,1692895379972,2,2,359,29,4,1001,1697778169,世間,[]
1692895413871,0,日本語::FMA,1500,5,1692895413871,2,2,354,25,5,1001,1698430106,存在,"['existence', 'being', 'presence', '神は存在すると思いますか。']"
1692895439362,0,日本語::FMA,2500,50,1692895439361,2,2,370,6,0,1001,1695921142,そんな,"['such', 'that sort of', 'that kind of', 'like that', 'about the actions of the listener, or about ideas expressed or understood by the listener', 'see: <a lang=""ja"" href=""#""><span>あんな</span></a><span data-sc-content=""refGlosses"" style=""font-size: 65%; vertical-align: middle;""> that sort of; that kind of; like that; such; so</span>', 'see: <a lang=""ja"" href=""#""><span>こんな</span></a><span data-sc-content=""refGlosses"" style=""font-size: 65%; vertical-align: middle;""> this sort of; this kind of; like this; such</span>', 'see: <a lang=""ja"" href=""#""><span>どんな</span></a><span data-sc-content=""refGlosses"" style=""font-size: 65%; vertical-align: middle;""> 1. what kind of; what sort of; what</span>', 'そんなことを言う人は嫌いだ。']"
1692895447002,0,日本語::FMA,2300,42,1692895447002,2,2,361,10,1,1001,1695828969,背負う,"[""to carry on one\\'s back"", '彼女は背中にリュックサックを背おっている。']"
1692895491146,0,日本語::FMA,2300,39,1692895491146,2,2,356,14,1,1001,1695658445,起きる,"['to get up', 'to rise', 'to blaze up (fire)', '６時ごろ起きた。']"
1692895537871,0,日本語::FMA,1300,5,1692895537870,2,2,354,40,9,1001,1698420034,取り戻す,"['to take back', 'to regain', 'to get back', 'to recover', '私たちは、失った時間を取り戻さなくてはならない。']"
1692895550720,0,日本語::FMA,1500,3,1692895550720,2,2,351,31,5,1001,1698326690,加える,"['to add', 'to add up', 'to sum up', 'to append', 'to annex', '水を加えてペースト状になるまでかき回しなさい。']"
1692895580117,0,日本語::FMA,1300,14,1692895580117,2,2,359,61,10,1001,1698037310,戻る,[]
1692895609339,0,日本語::FMA,2500,70,1692895609339,2,2,412,8,0,1001,1697830961,跡,"['trace', 'tracks', 'mark', 'sign', 'その女性の顔には悲しみの跡があった。']"
1692895632266,0,日本語::FMA,2500,37,1692895632266,2,2,353,9,0,1001,1695567522,落ちる,"['to fall', 'to drop', 'to come down', 'to crash', 'to collapse', 'to cave in', 'to give way', 'おじいちゃんが階段から落ちて大怪我をしたんだ。']"
1692895648814,0,日本語::FMA,1300,3,1692895648814,2,2,351,168,19,1001,1698343059,報告,"['report', 'information', '彼の報告は本当には思えない。']"
1692895662664,0,日本語::FMA,1300,11,1692895662664,2,2,351,101,9,1001,1697656389,昨夜,"['last night', 'yesterday evening', 'usu. 昨夜', 'あなたは昨夜よく眠れましたか。']"
1692895671887,0,日本語::FMA,2300,39,1692895671887,2,2,364,15,1,1001,1696357065,中央,"['centre', 'center', 'middle', 'heart', '私たちはその部屋の中央に座った。']"
1692895676214,0,日本語::FMA,1500,18,1692895676214,2,2,359,45,5,1001,1697744356,刑務所,"['prison', 'jail', 'gaol', 'penitentiary', 'ここには刑務所があった。']"
1692898534724,0,日本語::FMA,1300,8,1692898534724,2,2,354,87,14,1001,1698171103,事態,"['situation', '(present) state of affairs', 'circumstances', 'often with a negative connotation', '事態はかなり切迫している。']"
1692898541543,0,日本語::FMA,1300,3,1692898541543,2,2,350,37,7,1001,1698250862,一刻,"['a minute', 'moment', 'an instant', '一刻の猶予も許されなかった。']"
1692898555842,0,日本語::FMA,1300,1,1692898555841,2,2,350,86,16,1001,1698417876,猶予,"['postponement', 'deferment', 'extension (of time)', '事態は一刻の猶予も許さない。']"
1692898564618,0,日本語::FMA,1300,15,1692898564618,2,2,357,63,12,1001,1697778025,必ず,"['always', 'without exception', 'necessarily', 'certainly', 'without fail', 'positively', 'invariably', 'あの歌は必ずヒットするよ。']"
1692898569017,0,日本語::FMA,2500,93,1692898569017,2,2,442,7,0,1001,1698422781,見つけ出す,"['to find out', 'to discover', 'to locate', '誰も洞穴を見つけ出すことはできなかった。']"
1692898589593,0,日本語::FMA,1300,3,1692898589593,2,2,351,120,14,1001,1698297677,道路,"['road', 'highway', 'その崖は道路の上に突き出ている。']"
1692898602893,0,日本語::FMA,1300,1,1692898602892,2,2,350,190,25,1001,1698431577,封鎖,"['blockade', 'lockdown', 'sealing off (an area)', 'この港は封鎖されうる。']"
1692898609138,0,日本語::FMA,2500,41,1692898609137,2,2,359,7,0,1001,1695735186,あらゆる,"['all', 'every', 'あらゆるものに限界がある。']"
1692898616516,0,Daily Cards,1700,1,1692898616516,3,1,1697649179,34,4,1001,1697648512,場所,"['place', 'location', 'spot', 'position', 'このソファーは場所を取りすぎる。']"
1692898627540,0,日本語::FMA,2500,56,1692898627539,2,2,379,7,0,1001,1696151560,さがす,"['to search for', 'to look for', 'to hunt for', 'to seek', 'esp. 探す for something desired and 捜す for something lost', '私は寝る場所を探した。', '警察は行方不明の少年を捜した。']"
1692898627718,0,日本語::FMA,1300,1,1692898627718,2,2,350,60,8,1001,1698431298,捜す,"['to search for', 'to look for', 'to hunt for', 'to seek', 'esp. 探す for something desired and 捜す for something lost', '私は寝る場所を探した。', '警察は行方不明の少年を捜した。']"
1692898662767,0,日本語::FMA,2500,80,1692898662767,2,2,425,7,0,1001,1698038309,見つける,"['to discover', 'to find (e.g. an error in a book)', 'to come across', 'to detect', 'to spot', '彼女は物置の中で偶然いくつかの古文書を見つけた。']"
1692898672112,0,日本語::FMA,2500,83,1692898672112,2,2,428,10,0,1001,1698080342,次第,"['depending on', 'after a noun', '仕事の成功はあなた方の努力次第です。', '給料は君の能力次第だ。']"
1692898764587,0,日本語::FMA,2500,38,1692898764587,2,2,354,7,0,1001,1695553991,本部,"['headquarters', 'head office', 'main office', '大学本部はニューヨークに分校を設立することを決定した。']"
1692898778712,0,日本語::FMA,2500,56,1692898778712,2,2,381,7,0,1001,1696337043,酷い,"['cruel', 'heartless', 'hard', 'harsh', 'severe', 'この薬はひどい味がする。']"
1692898791435,0,日本語::FMA,1500,24,1692898791435,2,2,365,58,5,1001,1697732127,爆発,"['explosion', 'detonation', 'blast', 'blowing up', 'eruption', '屋根は爆発で吹き飛ばされた。']"
1692898818511,0,日本語::FMA,1900,32,1692898818510,2,2,374,41,3,1001,1697830187,急激,"['sudden', 'abrupt', 'rapid', 'sharp', 'drastic', 'radical', 'その党は急激にのびた。']"
1692898825385,0,日本語::FMA,1300,1,1692898825385,2,2,350,90,13,1001,1698424974,温度,"['temperature', '物質は温度によって形を変える。']"
1692898835011,0,日本語::FMA,2500,44,1692898835010,2,2,361,7,0,1001,1695659580,上げる,"['to raise', 'to elevate', 'see: <a lang=""ja"" href=""#""><span>手を挙げる</span></a><span data-sc-content=""refGlosses"" style=""font-size: 65%; vertical-align: middle;""> 1. to raise one\\\'s hand</span>', '質問があれば右手を挙げて下さい。']"
1692898896008,0,日本語::FMA,1700,25,1692898896008,2,2,365,40,4,1001,1697647813,捕まえる,"['to catch', 'to capture', 'to arrest', 'to seize', 'to restrain', '警察が容疑者を捕まえた。']"
1692898924641,0,日本語::FMA,2500,64,1692898924641,2,2,391,9,0,1001,1696511845,交わす,"['to exchange (messages, greetings, arguments, etc.)', '誰が議長に任命されるかについて、激しい議論がかわされた。']"
1692898936692,0,日本語::FMA,1900,14,1692898936691,2,2,355,23,3,1001,1697744366,殿,"['Mr.', 'Mrs.', 'Miss', 'Ms.', 'form of address used for official letters and business letters, and in letters to inferiors']"
1692898951969,0,日本語::FMA,2300,59,1692898951969,2,2,400,11,1,1001,1697743210,声,"['voice', 'あなたの声を聞いて嬉しい。']"
1692898973092,0,日本語::FMA,2500,64,1692898973092,2,2,405,8,0,1001,1697731138,如何にも,"['indeed', 'really', 'truly', 'just (like)', 'indicating emotive conviction', 'こんな格好をしているといかにもスポーツしてそうに見えるけど、全然やってないんだよ。']"
1692899225515,0,日本語::FMA,2100,57,1692899225515,2,2,403,20,2,1001,1698176312,切り裂く,"['to cut off', 'to cut up', 'to tear to pieces', '切れはずたずたに切り裂かれた。']"
1692899250940,0,日本語::FMA,2500,53,1692899250940,2,2,376,7,0,1001,1696148944,拳,"['fist', 'おまえも決して戦う拳を忘れるな。']"
1692899270310,0,日本語::FMA,1500,7,1692899270310,2,2,356,29,5,1001,1698430002,無意味,"['nonsense', 'no meaning', 'meaningless', 'だが俺はお前のとって永遠に無意味なまま。']"
1692899287213,0,日本語::FMA,2100,56,1692899287213,2,2,401,13,2,1001,1698037706,少佐,"['major', 'lieutenant commander', 'wing commander', '少佐は大尉の上官である。']"
